"Name_Adopt","zem_Adopt","DLAzabs","DLAlogNHI","DLAelogNHI","DLAReference"
"J000149-015939",2.815,"2.095,2.154","20.65,20.3","0.1,0.1","Zafar et al. (2013)"
"J000443-555044",2.1,1.886,20.4,0.1,"This work"
"J000651-620803",4.455,"2.97,3.202","20.7,20.8","0.2,0.1","Zafar et al. (2013)"
"J000815-095854",1.955,1.768,20.85,0.15,"Zafar et al. (2013)"
"J001306+000431",2.164,2.025,20.95,0.1,"Zafar et al. (2013)"
"J001602-001225",2.085,1.973,20.83,0.05,"Zafar et al. (2013)"
"J003023-181956",2.55,2.402,21.75,0.1,"Zafar et al. (2013)"
"J004054-091526",4.976,4.74,20.39,0.11,"Zafar et al. (2013)"
"J004131-493611",3.24,2.248,20.46,0.13,"Zafar et al. (2013)"
"J004216-333754",2.48,2.224,20.6,0.1,"Zafar et al. (2013)"
"J004435-262259",2.98,2.549,21.5,0.2,"This work"
"J004508-291432",2.388,"1.809,1.936","20.4,20.5","0.1,0.1","Zafar et al. (2013)"
"J005127-280433",2.256,2.071,20.45,0.1,"Noterdaeme et al. (2008)"
"J010104-285801",3.07,2.671,21.1,0.1,"Zafar et al. (2013)"
"J010311+131617",2.705,2.309,21.35,0.08,"Zafar et al. (2013)"
"J010516-184642",3.025,2.37,21,0.08,"Zafar et al. (2013)"
"J011453+031457",2.81,2.423,20.9,0.1,"Ledoux et al. (2006)"
"J011504-302514",2.985,"2.418,2.702","20.5,20.3","0.08,0.1","Zafar et al. (2013)"
"J012517-001828",2.274,1.761,20.78,0.07,"Zafar et al. (2013)"
"J012550-535225",3.18,2.837,21.2,0.1,"This work"
"J013340+040059",4.172,"3.692,3.773","20.68,20.42","0.15,0.1","Zafar et al. (2013)"
"J013754-270736",3.21,"2.107,2.800","20.30,21.00","0.15,0.10","Ledoux et al. (2006)"
"J013901-082444",3.013,2.677,20.7,0.15,"Zafar et al. (2013)"
"J014049-083942",3.713,3.696,20.75,0.15,"Ellison et al. (2010)"
"J014214+002324",3.37,3.348,20.38,0.05,"Ellison et al. (2010)"
"J020900-455026",2.52,2.349,21,0.1,"This work"
"J020944+051713",4.184,"3.666,3.863","20.47,20.43","0.1,0.15","Zafar et al. (2013)"
"J021741-370059",2.91,"2.429,2.514","20.62,20.46","0.08,0.09","Zafar et al. (2013)"
"J021857+081727",2.991,2.293,20.45,0.16,"Zafar et al. (2013)"
"J024449-290449",3.23,2.56,20.8,0.2,"This work"
"J025240-553832",2.37,2.34,20.6,0.1,"This work"
"J025634-401300",2.29,2.046,20.45,0.08,"Zafar et al. (2013)"
"J030211-314030",2.37,2.179,20.8,0.1,"Noterdaeme et al. (2008)"
"J030722-494548",4.728,4.466,20.67,0.09,"Dessauges-Zavadsky et al. (2001)"
"J032412-320259",3.302,2.243,20.5,0.1,"This work"
"J033025-495403",2.23,1.893,21.2,0.2,"This work"
"J033413-161205",4.363,3.557,21.12,0.15,"Peroux et al. (2005)"
"J033854-000521",3.05,2.23,21.05,0.25,"Zafar et al. (2013)"
"J033900-013317",3.197,3.062,21.2,0.09,"Zafar et al. (2013)"
"J034943-381030",3.205,3.025,20.73,0.05,"Zafar et al. (2013)"
"J040718-441013",3,"1.913,2.551,2.595,2.621","20.8,21.15,21.05,20.45","0.1,0.15,0.1,0.1","Zafar et al. (2013)"
"J041656-284340",2.09,1.719,21.2,0.2,"This work"
"J042353-261801",2.277,2.157,20.65,0.1,"Noterdaeme et al. (2008)"
"J042644-520819",2.25,2.224,20.3,0.1,"Noterdaeme et al. (2008)"
"J043255-355030",2.28,1.961,20.7,0.1,"This work"
"J043403-435547",2.649,2.302,20.78,0.1,"Zafar et al. (2013)"
"J044017-433308",2.863,2.347,20.78,0.12,"Zafar et al. (2013)"
"J044534-354704",2.61,2.408,20.3,0.1,"This work"
"J045313-130555",2.3,2.067,20.5,0.07,"Zafar et al. (2013)"
"J050112-015914",2.286,2.04,21.7,0.1,"Zafar et al. (2013)"
"J053007-250329",2.813,"2.141,2.811","20.95,21.35","0.05,0.07","Zafar et al. (2013)"
"J055246-363727",2.317,1.962,20.7,0.08,"Zafar et al. (2013)"
"J060008-504036",3.13,2.149,20.4,0.12,"Zafar et al. (2013)"
"J064326-504112",3.09,2.659,20.95,0.08,"Zafar et al. (2013)"
"J080916+053941",2.555,2.319,20.39,0.22,"Noterdaeme et al. (2009)"
"J081634+144612",3.846,3.287,22,0.1,"Guimaraes et al. (2012)"
"J082003+155932",1.954,1.926,21,0.2,"This work"
"J083932+111206",2.671,2.465,20.58,0.1,"Prochaska et al. (2001)"
"J084424+124546",2.496,"1.864,2.375,2.476","21.0,21.05,20.8","0.1,0.1,0.1","Zafar et al. (2013)"
"J091613+070224",2.786,2.618,20.35,0.1,"Zafar et al. (2013)"
"J093509-333237",2.906,2.682,20.5,0.1,"Zafar et al. (2013)"
"J094008+023209",3.218,2.565,20.63,0.05,"Prochaska et al. (2005)"
"J094438+194111",3.186,2.655,20.56,0.03,"Noterdaeme et al. (2009)"
"J095355-050418",4.369,"3.858,4.203","20.6,20.55","0.1,0.1","Zafar et al. (2013)"
"J095500-013006",4.426,4.024,20.55,0.1,"Zafar et al. (2013)"
"J103842-272912",3.09,2.792,20.65,0.13,"Zafar et al. (2013)"
"J103909-231326",3.13,2.777,20.93,0.05,"Zafar et al. (2013)"
"J104252+011736",2.44,2.267,20.75,0.15,"Prochaska et al. (2005)"
"J105744+062914",3.147,2.5,20.55,0.05,"Prochaska et al. (2005)"
"J105800-302455",2.523,1.904,21.54,0.1,"Zafar et al. (2013)"
"J110855+120953",3.672,3.396,20.65,0.06,"Penprase et al. (2010)"
"J111109+144238",3.1,2.6,21.35,0.15,"Prochaska et al. (2009)"
"J111113-080401",3.922,3.608,20.37,0.07,"Zafar et al. (2013)"
"J111119+133603",3.475,3.201,21.2,0.15,"Prochaska et al. (2009)"
"J111350-153333",3.37,3.265,21.3,0.05,"Zafar et al. (2013)"
"J112010-134625",3.958,3.35,20.95,0.1,"Ledoux et al. (2006)"
"J115122+020426",2.397,1.969,20.84,0.14,"Parks et al. (2018)"
"J115411+063427",2.755,1.775,21.3,0.08,"Zafar et al. (2013)"
"J115538+053050",3.463,"2.608,3.327","20.37,21.0","0.11,0.1","Zafar et al. (2013)"
"J115944+011206",2.002,1.944,21.8,0.1,"Wolfe et al. (1981)"
"J120523-074232",4.695,4.383,20.6,0.14,"Zafar et al. (2013)"
"J120550+020131",2.132,1.747,20.4,0.1,"Zafar et al. (2013)"
"J121134+090220",3.287,2.584,21.4,0.1,"Zafar et al. (2013)"
"J121303+171423",2.569,1.892,20.7,0.08,"Zafar et al. (2013)"
"J122040+092326",3.14,3.133,20.75,0.2,"Prochaska et al. (2008)"
"J122607+173649",2.942,2.466,21.4,0.1,"Zafar et al. (2013)"
"J122848-010414",2.647,2.263,20.4,0.15,"Prochaska et al. (2005)"
"J123313-102518",1.931,1.931,20.48,0.1,"Zafar et al. (2013)"
"J123437+075843",2.578,2.338,20.9,0.08,"Zafar et al. (2013)"
"J124020+145535",3.105,3.024,20.45,0.05,"Wolfe et al. (2008)"
"J124524-000938",2.092,1.824,20.45,0.1,"Zafar et al. (2013)"
"J124924-023339",2.12,1.781,21.45,0.15,"Zafar et al. (2013)"
"J125316+114720",3.285,2.944,20.35,0.15,"Prochaska et al. (2009)"
"J133335+164903",2.089,1.776,21.15,0.07,"Zafar et al. (2013)"
"J133941+054822",2.982,2.585,20.45,0.15,"Prochaska et al. (2005)"
"J134002+110630",2.919,2.796,20.95,0.1,"Prochaska et al. (2007)"
"J135334-031022",3.005,2.56,20.35,0.15,"Prochaska et al. (2005)"
"J135646-110128",3,"2.501,2.967","20.44,20.8","0.05,0.1","Zafar et al. (2013)"
"J141217+091624",2.849,"2.019,2.456","20.65,20.53","0.1,0.08","Zafar et al. (2013)"
"J144331+272436",4.43,4.224,20.95,0.08,"Zafar et al. (2013)"
"J145418+121053",3.252,"2.255,2.469","20.30,20.39","0.1,0.1","This work,Petitjean et al. (2000)"
"J172323+224357",4.52,3.697,20.35,0.1,"Zafar et al. (2013)"
"J210244-355307",3.09,3.083,20.98,0.08,"Ledoux et al. (2006)"
"J213605-430818",2.42,1.916,20.74,0.09,"Zafar et al. (2013)"
"J214159-441325",3.17,"2.383,2.852","20.6,20.98","0.05,0.05","Zafar et al. (2013)"
