"Name_Adopt","RA_Adopt","Dec_Adopt","zem_Adopt","RA_UVES","Dec_UVES","RA_SSS","Dec_SSS","B_SSS","R1_SSS","R2_SSS","I_SSS","Name_SDSS","zem_SDSS","u_SDSS","g_SDSS","r_SDSS","i_SDSS","z_SDSS","Name_NED","zem_NED","Name_SIMBAD","zem_SIMBAD","Spec_status","NumExp","ExpTime","WavStart","WavEnd","WavCoverage","Dispersion","CNR","ResPowerNom","SlitWidths","Binnings","Settings","Seeing","ProgIDs","PIObjNames","DLAzabs","DLAlogNHI","DLAelogNHI","DLAReference"
"J000149-015939","00:01:49.94","-01:59:39.4",2.815,"00:01:49.93","-01:59:40.0","00:01:49.943","-01:59:39.34",18.689,18.309,18.524,18.586,"SDSS J000149.94-015939.4",2.815,20.258,18.95,18.786,18.822,18.629,"LBQS 2359-0216B",2.817,"[LE2003] Q2359-02A",0,0,6,21300,3049.1768815312,10429.1067549443,"3231.17-5760.12,5761.28-9611.19,9619.29-9762.24,9773.24-9912.94,9927.75-10087.31,10093.87-10255.33,10268.16-10429.11",2.5,"6,12,12,15,11","49.8,49.8,52.0,49.9,52.0","0.9,1.0","2x2","346,390,437,580,760,860","0.56,1.50,2.03","073.B-0787(A),66.A-0624(A)","q2359m0216,q2359m022","2.095,2.154","20.65,20.3","0.1,0.1","Zafar et al. (2013)"
"J000322-260318","00:03:22.94","-26:03:18.3",4.098,"00:03:23.05","-26:03:19.3","00:03:22.947","-26:03:18.37",19.548,17.155,16.94,16.741,,,,,,,,"[HB89] 0000-263",4.098,"QSO B0000-26",4.111,"1,2",4,16100,3772.3705712481,8520.6180691971,"3951.76-4980.53,4986.31-5000.38,6731.41-8520.62",2.5,"0,65,0,0,48","0.0,54.5,0.0,0.0,52.0",0.9,"2x2","437,860","0.34,0.49,1.97","60.A-9022(A)","q00m26",,,,
"J000344-232355","00:03:44.91","-23:23:55.3",2.28,"00:03:45.00","-23:23:55.0","00:03:44.914","-23:23:55.33",16.751,16.689,16.471,15.934,,,,,,,,"HE 0001-2340",2.28,"QSO B0001-2340",2.28,0,26,108482,3046.8826932926,10256.5078264323,"3064.01-4893.83,4898.29-4901.84,4904.58-4949.12,4954.43-5234.93,5241.38-8789.49,8795.09-9767.57,9776.01-9925.47,9930.59-9963.37,9966.27-10088.23,10097.46-10256.51",1.3,"36,66,97,106,99","60.1,60.1,53.7,53.7,50.8","0.7,1.0","1x1,2x2","346,390,420,437,580,700,760,860","0.40,0.94,2.20","083.A-0733(A),083.A-0733(I),166.A-0106(A)","he0001m2340,hem0001mm2340",,,,
"J000443-555044","00:04:43.28","-55:50:44.6",2.1,"00:04:43.14","-55:50:45.7","00:04:43.277","-55:50:44.56",18.37,18.008,17.503,17.056,,,,,,,,,,,,0,7,21288,3284.7262342477,6655.7795996824,"3289.96-4520.41,4621.65-5600.00,5674.60-6616.43,6619.41-6652.39",2.5,"22,16,42,40,0","59.8,59.8,56.9,56.9,0.0",0.8,"2x2","390,564","0.61,1.24,2.28","074.A-0473(A)","ctq702",1.886,20.4,0.1,"This work"
"J000448-415728","00:04:48.27","-41:57:28.1",2.76,"00:04:48.10","-41:57:28.0","00:04:48.271","-41:57:28.19",17.912,17.454,17.138,16.862,,,,,,,,"TOLOLO 0002-422",2.76,"QSO B0002-4214",2.76,0,46,178664,3045.9376608482,10430.1038054271,"3048.50-10087.93,10088.87-10256.09,10259.71-10430.10",2,"49,113,122,144,101","49.8,55.8,47.8,50.6,47.8","0.8,1.0","1x1,2x2","346,390,437,564,580,760,860","0.37,0.80,2.81","166.A-0106(A),185.A-0745(C),185.A-0745(F)","q0002m422",,,,
"J000651-620803","00:06:51.62","-62:08:03.3",4.455,"00:06:51.72","-62:08:01.4","00:06:51.620","-62:08:03.39",21.619,18.703,19.041,18.061,,,,,,,,"BR J0006-6208",4.455,"QSO B0004-6224",4.455,0,2,7199,4774.5596907857,6809.2877606144,"4808.60-4855.06,4858.34-5755.45,5841.27-6802.08",2.5,"0,0,18,28,0","0.0,0.0,47.8,47.8,0.0",1,"2x2",580,"0.83,1.06,1.10","69.A-0613(A)","0006m6208","2.97,3.202","20.7,20.8","0.2,0.1","Zafar et al. (2013)"
"J000815-095854","00:08:15.33","-09:58:54.3",1.955,"00:08:15.35","-09:58:53.3","00:08:15.312","-09:58:54.46",18.325,18.242,17.92,17.529,"SDSS J000815.33-095854.3",1.955,19.168,18.845,18.364,18,17.902,"SDSS J000815.33-095854.0",1.95,"SDSS J000815.33-095854.3",1.951,0,6,21600,3282.575166738,9465.7637511399,"3297.45-4518.58,5684.95-5741.98,5759.49-5825.95,5828.72-7520.56,7665.23-9465.76",2.5,"11,26,0,40,42","49.8,49.8,0.0,52.0,52.0","0.9,1.0","2x2","390,760","0.86,1.30,2.20","076.A-0376(A)","j000815m095854",1.768,20.85,0.15,"Zafar et al. (2013)"
"J000852-290043","00:08:52.70","-29:00:43.7",2.645,"00:08:52.74","-29:00:43.6","00:08:52.707","-29:00:43.76",19.161,18.274,18.173,17.925,,,,,,,,"2QZ J000852.7-290044",2.645,"QSO B0006-2917",2.645,0,6,24000,3283.1747294512,10429.4198840168,"3295.68-4983.74,5677.60-5920.92,5931.10-5981.86,5987.85-9614.28,9619.09-9766.85,9775.00-9924.40,9936.91-10087.19,10094.26-10255.47,10279.95-10429.42",2.5,"16,165,0,46,41","41.5,41.5,0.0,41.1,41.1","1.1,1.2","2x2","390,437,760,860","0.62,0.80,1.09","075.A-0617(A),70.A-0031(A)","2qzmj000857.7m290126,pairmam1",,,,
"J000857-290126","00:08:57.72","-29:01:26.4",2.607,"00:08:57.73","-29:01:26.4","00:08:57.729","-29:01:26.43",19.928,19.34,19.412,19.062,,,,,,,,"2QZ J000857.7-290126",2.607,"QSO B0006-2918",2.607,0,6,17700,3282.7429758311,10433.7893169477,"3323.54-4983.75,5678.99-5744.53,5759.59-7966.32,7966.85-8366.46,8369.18-9001.64,9004.41-9403.62,9405.35-9428.59,9434.17-9441.34,9442.52-9614.06,9626.25-9766.79,9776.24-9924.59,9940.32-10088.05,10104.89-10257.62,10289.75-10433.79",2.5,"5,16,0,16,16","41.5,41.5,0.0,41.1,41.1","1.1,1.2","2x2","390,437,760,860","0.58,0.95,1.50","075.A-0617(A),70.A-0031(A)","2qzmj000852.7m290044,pairmam2",,,,
"J001130+005550","00:11:30.55","+00:55:50.8",2.29,"00:11:30.57","+00:55:50.8","00:11:30.556","+00:55:50.89",19.16,,18.431,17.69,"SDSS J001130.55+005550.8",2.29,20.022,19.055,18.69,18.29,17.99,"[HB89] 0008+006",2.309,"[HHB2004] A1",2.291,0,2,7200,3760.2056874305,10431.6241164128,"3760.21-4984.30,6691.83-6769.90,6779.11-6920.88,6929.37-8516.12,8660.28-9767.77,9776.00-9925.17,9939.59-10087.97,10107.59-10256.61,10284.27-10431.62",2.5,"0,8,0,0,17","0.0,49.8,0.0,0.0,47.8",1,"2x2","437,860","NA,NA,NA","267.B-5698(A)","j0011p0055",,,,
"J001210-012207","00:12:10.88","-01:22:07.6",1.999,"00:12:10.93","-01:22:07.7","00:12:10.881","-01:22:07.65",17.672,,17.421,16.748,,,,,,,,"LBQS 0009-0138",1.999,"LBQS 0009-0138",1.998,0,2,6000,3282.3378603186,6812.4924176415,"3292.48-4519.42,4780.91-4807.46,4812.27-4845.29,4850.14-4883.99,4889.49-4923.00,4927.97-4951.70,4967.83-5578.18,5578.69-5759.74,5836.86-6064.66,6072.00-6301.29,6301.76-6812.49",2.5,"10,12,26,25,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,580","0.86,1.06,1.23","078.A-0003(A)","q0009m016",,,,
"J001306+000431","00:13:06.14","+00:04:31.8",2.164,"00:13:06.14","+00:04:32.8","00:13:06.126","+00:04:32.09",18.784,18.835,18.702,17.721,"SDSS J001306.14+000431.8",2.164,19.029,18.685,18.486,18.44,18.271,"LBQS 0010-0012",2.145,"LBQS 0010-0012",2.145,0,1,5400,3045.2978716014,6653.5096011652,"3082.04-3382.80,3382.97-3561.77,3561.97-3869.87,4620.84-4659.81,4660.78-5092.80,5093.05-5131.59,5133.77-5578.43,5578.98-5600.15,5674.75-5714.45,5714.74-6652.51",2.5,"9,0,19,18,0","49.8,0.0,47.8,47.8,0.0",1,"2x2","346,564","0.63,0.67,0.70","68.A-0600(A)","q0010",2.025,20.95,0.1,"Zafar et al. (2013)"
"J001602-001225","00:16:02.40","-00:12:25.1",2.085,"00:16:02.40","-00:12:25.0","00:16:02.381","-00:12:24.99",18.498,17.804,17.894,16.938,"SDSS J001602.40-001225.1",2.085,18.547,18.281,18.003,17.753,17.424,"LBQS 0013-0029",2.087,"LBQS 0013-0029",2.086,0,25,91800,3037.2867314312,9399.5933011037,"3078.01-7414.49,7562.87-9365.71,9368.68-9399.59",2.5,"30,21,82,85,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","346,437,564,580,750","0.39,0.79,1.43","267.A-5714(A),66.A-0624(A)","q0013m0029,q0013m004",1.973,20.83,0.05,"Zafar et al. (2013)"
"J001643-575056","00:16:43.49","-57:50:56.5",1.778,"00:16:43.52","-57:50:56.8","00:16:43.494","-57:50:56.53",17.221,16.57,16.496,16.089,,,,,,,,,,,,0,1,1980,3282.7448768873,6656.3703756988,"3289.18-3801.41,3801.67-4519.87,4622.25-5312.09,5312.36-5600.36,5678.19-6303.39,6303.75-6652.87",2.5,"9,10,23,25,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.96,1.07,1.18","078.A-0068(A)","he0014m5807",,,,
"J002110-242248","00:21:10.75","-24:22:48.8",2.256,"00:21:10.70","-24:22:49.0","00:21:10.753","-24:22:48.89",18.004,17.844,17.412,17.29,,,,,,,,,,,,0,1,2412,3282.6927964724,6654.7662516298,"3290.94-4519.42,4622.18-5578.32,5578.60-5602.28,5676.82-6283.71,6284.02-6486.29,6486.40-6514.10,6514.21-6553.54,6553.71-6585.65,6585.87-6643.51,6643.62-6654.77",2.5,"5,6,14,13,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","1.41,1.54,1.68","078.A-0068(A)","he0018m2439",,,,
"J002133+004300","00:21:33.27","+00:43:00.9",1.245,"00:21:33.21","+00:43:01.1","00:21:33.261","+00:43:01.08",18.405,17.521,17.53,17.258,"SDSS J002133.27+004300.9",1.245,17.975,17.871,17.559,17.505,17.452,"LBQS 0018+0026",1.244,"LBQS 0018+0026",1.243,0,1,3000,3283.107248434,6654.4965017071,"3291.28-3407.46,3407.74-3455.90,3456.08-4210.24,4210.45-4326.74,4326.99-4370.80,4371.13-4500.28,4500.51-4519.43,4620.83-4704.55,4704.82-5004.76,5005.09-5221.59,5221.85-5456.17,5456.49-5578.23,5578.69-5601.30,5678.24-5703.49,5703.59-5752.07,5752.16-5761.57,5761.67-6158.90,6159.00-6363.29,6363.39-6427.87,6427.98-6574.35,6574.52-6630.95,6631.12-6654.50",2.5,"7,7,18,18,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","1.00,1.21,1.43","078.A-0003(A)","q0021p0043",,,,
"J002151-012834","00:21:51.67","-01:28:34.0",1.589,"00:21:51.58","-01:28:33.9","00:21:51.676","-01:28:33.89",18.409,17.956,17.882,17.275,"SDSS J002151.67-012834.0",1.589,18.64,18.331,18.209,17.963,17.942,"LBQS 0019-0145A",1.588,"LBQS 0019-0145A",1.588,0,2,7200,3936.5441355699,9284.2389035347,"3936.54-4085.54,4086.12-5160.27,5463.35-5536.92,5551.62-5578.30,5578.95-5611.66,5615.50-5707.56,5707.94-7311.24,7435.06-9273.56",2.5,"0,13,6,18,16","0.0,49.8,47.8,47.8,47.8",1,"2x2","455,738","0.62,0.79,0.99","66.A-0624(A)","q0019m0145",,,,
"J003023-181956","00:30:23.62","-18:19:56.0",2.55,"00:30:23.67","-18:19:56.2","00:30:23.627","-18:19:56.09",17.852,17.335,17.372,17.018,,,,,,,,"UM 664",2.55,"QSO J0027-1836",2.55,0,28,155272,3044.896386881,10428.6157968262,"3114.29-6854.89,6857.95-6931.47,6941.76-6994.57,6996.30-8524.84,8660.16-10086.90,10088.21-10254.93,10259.29-10428.62",1.3,"22,28,115,74,14","55.8,55.8,50.6,50.6,56.9","0.8,1.0","1x1,2x2","346,390,437,564,580,860","0.42,0.84,2.00","072.A-0442(A),073.A-0071(A),074.A-0201(A),185.A-0745(B),185.A-0745(G)","he0027m1836,hem0027m1836,hes0027m1836,q0027m1836",2.402,21.75,0.1,"Zafar et al. (2013)"
"J004054-091526","00:40:54.65","-09:15:26.8",4.976,"00:40:54.52","-09:15:26.5","00:40:54.651","-09:15:26.93",,,20.382,,"SDSS J004054.65-091526.8",4.976,24.379,24.524,20.503,19.195,19.136,"SDSS J0040-0915",4.976,"SDSS J004054.65-091526.7",4.976,0,8,21712,4767.4931349454,10254.2158850233,"5241.73-6629.23,6700.15-8573.70,8576.70-8604.71,8660.36-10086.13,10087.72-10254.22",2.5,"0,0,19,29,25","0.0,0.0,41.1,41.1,41.1",1.2,"2x2","670,860","0.56,0.85,1.37","072.B-0123(D)","sdss0039m0959u2x2,sdss0039m0959ucarbonuiv",4.74,20.39,0.11,"Zafar et al. (2013)"
