atom ion wl           f
H    I   1215.6701000 4.16400e-01
H    I   1025.7223000 7.91200e-02
H    I    972.5368000 2.90000e-02
H    I    949.7431000 1.39400e-02
H    I    937.8035000 7.79900e-03
H    I    930.7483000 4.81400e-03
H    I    926.2257000 3.18300e-03
H    I    923.1504000 2.21600e-03
H    I    920.9631000 1.60500e-03
H    I    919.3514000 1.20000e-03
H    I    918.1294000 9.21000e-04
H    I    917.1806000 7.22600e-04
H    I    916.4290000 5.77000e-04
H    I    915.8240000 4.69000e-04
H    I    915.3290000 3.86000e-04
H    I    914.9190000 3.21000e-04
H    I    914.5760000 2.70000e-04
H    I    914.2860000 2.30000e-04
H    I    914.0390000 1.97000e-04
H    I    913.8260000 1.70000e-04
H    I    913.6410000 1.48000e-04
H    I    913.4800000 1.29000e-04
H    I    913.3390000 1.14000e-04
H    I    913.2150000 1.01000e-04
H    I    913.1040000 8.90000e-05
H    I    913.0060000 8.00000e-05
H    I    912.9180000 7.10000e-05
H    I    912.8390000 6.40000e-05
H    I    912.7680000 5.80000e-05
H    I    912.7030000 5.30000e-05
H    I    912.6450000 4.80000e-05
H    I    911.7633000 6.30000e-18
H    I2  6564.6230000 6.95800e-01
H    I2  4862.6880000 1.21800e-01
H    I2  4341.6900000 4.43700e-02
D    I   1215.3394000 4.16500e-01
D    I   1025.4433000 7.91000e-02
D    I    972.2722000 2.90100e-02
D    I    949.4847000 1.39500e-02
D    I    937.5484000 7.80800e-03
D    I    930.4951000 4.81700e-03
D    I    925.9737000 3.18400e-03
D    I    922.8990000 2.21600e-03
D    I    920.7120000 1.60500e-03
D    I    919.1020000 1.20100e-03
D    I    917.8790000 9.21000e-04
D    I    916.9310000 7.23000e-04
D    I    916.1790000 5.77000e-04
D    I    915.5750000 4.69000e-04
D    I    915.0800000 3.86000e-04
He   I    584.3340000 2.85000e-01
He   I    537.0296000 7.52000e-02
He   I    522.2128000 3.07000e-02
He   I    515.6165000 1.54000e-02
He   II   303.7822000 4.16000e-01
He   II   256.3170000 7.90000e-02
Be   II  3131.3292000 3.32100e-01
Be   II  3131.9742000 1.66000e-01
Be   II  1036.3190000 2.76900e-02
Be   II  1036.2990000 5.53800e-02
B    II  1362.4630000 9.96000e-01
B    III 2066.4360000 2.38000e-01
B    III 2067.8930000 1.19000e-01
C    I    945.1880000 2.72600e-01
C    I   1139.0867000 5.42000e-04
C    I*  1139.2998000 1.21000e-03
C    I   1139.7919000 1.23000e-02
C    I*  1139.5145000 8.81000e-03
C    I*  1140.0053000 1.84000e-03
C    I** 1139.8121000 8.06000e-03
C    I** 1139.8651000 2.52000e-04
C    I   1140.0096000 3.56000e-03
C    I*  1139.7659000 1.50000e-03
C    I** 1140.1167000 3.58000e-03
C    I*  1140.3576000 2.07000e-03
C    I** 1140.6415000 1.72000e-03
C    I   1155.8092000 4.92000e-03
C    I*  1155.9793000 2.50000e-03
C    I*  1156.0286000 2.27000e-03
C    I*  1156.1992000 7.99000e-04
C    I** 1156.3895000 1.81000e-03
C    I** 1156.5603000 5.39000e-03
C    I   1157.9097000 2.12000e-02
C    I*  1156.7697000 8.78000e-03
C    I*  1158.1299000 3.97000e-03
C    I** 1158.0188000 1.57000e-02
C    I** 1158.1317000 5.19000e-03
C    I   1158.3240000 6.55000e-03
C    I*  1158.5443000 6.75000e-04
C    I*  1158.6744000 1.47000e-03
C    I** 1158.3971000 1.65000e-03
C    I** 1158.9068000 1.01000e-03
C    I   1188.8329000 1.24000e-02
C    I*  1188.9928000 5.07000e-03
C    I*  1189.0650000 4.26000e-03
C    I*  1189.2488000 3.85000e-03
C    I** 1189.4468000 3.76000e-03
C    I** 1189.6307000 1.12000e-02
C    I   1192.2158000 1.37000e-03
C    I*  1192.4492000 1.62000e-03
C    I   1193.0300000 4.09000e-02
C    I*  1193.0085000 2.81000e-02
C    I*  1193.2637000 9.13000e-03
C    I** 1193.2401000 3.32000e-02
C    I** 1193.3928000 7.38000e-03
C    I** 1193.6483000 2.88000e-04
C    I*  1194.3010000 9.05000e-03
C    I** 1194.4885000 2.03000e-03
C    I   1193.9954000 1.24000e-02
C    I*  1193.6786000 9.05000e-03
C    I*  1194.2295000 1.78000e-03
C    I*  1194.4055000 3.14000e-03
C    I** 1194.0634000 6.36000e-03
C    I** 1194.6146000 2.27000e-03
C    I   1260.7351000 5.07000e-02
C    I*  1260.9262000 1.75000e-02
C    I*  1260.9961000 1.34000e-02
C    I*  1261.1224000 2.02000e-02
C    I** 1261.4255000 1.31000e-02
C    I** 1261.5519000 3.91000e-02
C    I   1270.1432000 3.86000e-04
C    I*  1270.4081000 4.51000e-05
C    I** 1270.8440000 1.45000e-08
C    I   1276.4822000 5.89000e-03
C    I*  1276.7498000 3.08000e-03
C    I** 1277.1900000 3.22000e-04
C    I   1277.2452000 8.53000e-02
C    I*  1277.2827000 6.66000e-02
C    I*  1277.5131000 2.10000e-02
C    I** 1277.5501000 7.63000e-02
C    I** 1277.7233000 1.53000e-02
C    I** 1277.9539000 8.17000e-04
C    I*  1279.0562000 7.08000e-04
C    I** 1279.2290000 2.14000e-03
C    I** 1279.4980000 4.56000e-04
C    I   1280.1352000 2.63000e-02
C    I*  1279.8907000 1.43000e-02
C    I*  1280.4043000 4.40000e-03
C    I*  1280.5975000 7.04000e-03
C    I** 1280.3331000 1.52000e-02
C    I** 1280.8471000 5.22000e-03
C    I*  1287.6076000 6.03000e-05
C    I** 1288.0553000 2.01000e-05
C    I   1328.8333000 7.58000e-02
C    I*  1329.0849000 2.54000e-02
C    I*  1329.1004000 3.13000e-02
C    I*  1329.1233000 1.91000e-02
C    I** 1329.5775000 5.69000e-02
C    I** 1329.6004000 1.89000e-02
C    I   1560.3092000 7.74000e-02
C    I*  1560.6820000 5.81000e-02
C    I*  1560.7089000 1.93000e-02
C    I** 1561.3399000 1.16000e-02
C    I** 1561.3668000 7.72000e-04
C    I** 1561.4378000 6.49000e-02
C    I   1656.9284000 1.49000e-01
C    I*  1656.2672000 6.21000e-02
C    I*  1657.3792000 3.71000e-02
C    I*  1657.9071000 4.94000e-02
C    I** 1657.0081000 1.11000e-01
C    I** 1658.1211000 3.71000e-02
C    II  1334.5323000 1.27800e-01
C    II  1036.3367000 1.18000e-01
C    II* 1335.7077000 1.15000e-01
C    II* 1335.6627000 1.27700e-02
C    II* 1037.0182000 1.18000e-01
C    III  977.0201000 7.57000e-01
C    IV  1548.2049000 1.89900e-01
C    IV  1550.7784500 9.47500e-02
N    I   1200.7098000 4.32000e-02
N    I   1200.2233000 8.69000e-02
N    I   1199.5496000 1.32000e-01
N    I   1134.9803000 4.16000e-02
N    I   1134.4149000 2.78000e-02
N    I   1134.1653000 1.46000e-02
N    I    965.0413000 3.86000e-03
N    I    964.6256000 7.90000e-03
N    I    963.9903000 1.24000e-02
N    I    954.1042000 4.00000e-03
N    I    953.9699000 3.31000e-02
N    I    953.6549000 2.47000e-02
N    I    953.4152000 1.29000e-02
N    II  1083.9937000 1.11000e-01
N    II   915.6131000 1.59000e-01
N    III  989.7990000 1.23000e-01
N    V   1238.8210000 1.56000e-01
N    V   1242.8040000 7.70000e-02
O    I   1355.5977000 1.16000e-06
O    I   1302.1685000 4.80000e-02
O    I   1039.2304000 9.07000e-03
O    I   1026.4757000 8.71000e-08
O    I   1025.7616000 1.63000e-02
O    I    988.7734000 4.65000e-02
O    I    988.6549000 8.30000e-03
O    I    988.5778000 5.53000e-04
O    I    976.4481000 3.31000e-03
O    I    971.7382000 1.16000e-02
O    I    971.7376000 2.07000e-03
O    I    971.7371000 1.38000e-04
O    I    950.8846000 1.58000e-03
O    I    948.6855000 6.31000e-03
O    I    937.8405000 8.77000e-04
O    I    936.6295000 3.65000e-03
O    I    930.2566000 5.37000e-04
O    I    929.5168000 2.29000e-03
O    I    925.4460000 3.54000e-04
O    I    924.9500000 1.54000e-03
O    I    922.2000000 2.45000e-04
O    I    921.8570000 1.08000e-03
O    I    919.9170000 1.77000e-04
O    I    919.6580000 7.92000e-04
O    I    919.2220000 1.32000e-04
O    I    918.0440000 6.14000e-04
O    I    916.9600000 1.01000e-04
O    I    916.8150000 4.74000e-04
O    I*  1304.8576000 4.78000e-02
O    I** 1306.0286000 4.78000e-02
O    II   834.4655000 1.32000e-01
O    II   833.3294000 8.86000e-02
O    II   832.7572000 4.44000e-02
O    III  832.9270000 1.07000e-01
O    III  702.3320000 1.37000e-01
O    IV   787.7110000 1.10000e-01
O    VI  1031.9261000 1.32500e-01
O    VI  1037.6167000 6.58000e-02
O    VII   21.6016900 6.96000e-01
O    VII   18.6279900 1.46000e-01
F    I    954.8267000 8.17000e-02
F    I    951.8707000 1.65000e-02
